Smiles,Standardized_SMILES
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,CC1=C(Br)C(Br)=C(Br)C(Br)=C1Br
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,CCC1=C(Br)C(Br)=C(Br)C(Br)=C1Br
Brc1ccc(Br)c(Br)c1,BrC1=CC=C(Br)C(Br)=C1
Brc1cc(Br)c(Br)cc1Br,BrC1=C(Br)C=C(Br)C(Br)=C1
Brc1cc(Br)cc(Br)c1,BrC1=CC(Br)=CC(Br)=C1
Brc1ccc(Oc2ccc(Br)cc2)cc1,BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1
Brc1ccc(cc1)c2ccc(Br)cc2,BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1
BrC(Br)(Br)Br,BrC(Br)(Br)Br
BrC(c1ccccc1)(c2ccccc2)c3ccccc3,BrC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
BrC(Br)c1ccccc1C(Br)Br,BrC(Br)C1=CC=CC=C1C(Br)Br
BrC(Br)c1cccc(c1)C(Br)Br,BrC(Br)C1=CC=CC(C(Br)Br)=C1
BrC(Br)C(Br)Br,BrC(Br)C(Br)Br
BrC(=C(c1ccccc1)c2ccccc2)c3ccccc3,BrC(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
BrC(C(Br)c1ccccc1)c2ccccc2,BrC(C1=CC=CC=C1)C(Br)C1=CC=CC=C1
BrCC(CBr)(CBr)CBr,BrCC(CBr)(CBr)CBr
BrCCCCCCCCCCBr,BrCCCCCCCCCCBr
BrCCCCCCCCCCCBr,BrCCCCCCCCCCCBr
BrCCCCCCCCCCCCBr,BrCCCCCCCCCCCCBr
CCCCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCCCBr
CCCCCCCCCCCCCCCCCCBr,CCCCCCCCCCCCCCCCCCBr
Fc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,FC1=C(F)C(F)=C(C2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F
Fc1c(F)c(F)c(Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,FC1=C(F)C(F)=C(SC2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F
Fc1c(F)c(F)c(C(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,O=C(C1=C(F)C(F)=C(F)C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F
OC(c1c(F)c(F)c(F)c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,OC(C1=C(F)C(F)=C(F)C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F
Fc1c(F)c(Br)c(F)c(F)c1Br,FC1=C(F)C(Br)=C(F)C(F)=C1Br
