id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
1,F-C(=C)=C-C=C=C,7,6,110,10.119596,1,0.41152263
2,F-C(=C)=C-C=C,6,5,128,11.775529,4,1.6460905
3,F-C1=C=C=C(-O-C)=C(-C2=C=C=N=C3=N=C(-C-C-C)=C=C=3=2)=C=1,21,23,151,13.891444,1,0.41152263
4,F-C1=C=C=C(-O-C)=C(-C2=C=C=N=C3=N=C(-C-C)=C=C=3=2)=C=1,20,22,163,14.9954,1,0.41152263
5,F-C1=C=C=C(-O-C)=C(-C2=C=C=N=C=C=2)=C=1,15,16,164,15.087397,1,0.41152263
6,F-C1=C=C=C2-N(-C-C3=C(-C(-C-C-N)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3)-C,25,28,110,10.119596,4,1.6460905
7,F-C1=C=C=C2-N(-C-C3=C(-C(-C-C)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3)-C,24,27,135,12.419503,4,1.6460905
8,F-C1=C=C=C2-N(-C-C3=C(-C(-C-C-N-C)=C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3)-C,25,28,110,10.119596,4,1.6460905
9,F-C1=C=C=C2-N(-C-C3=C(-C(-C)=C-C)=N=C4=N=C=C=C(-C=2=C=1)=C=4=3)-C,23,26,144,13.24747,4,1.6460905
10,F-C1=C=C=C(-N(-C)-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C=C=3=2)=C=1,25,27,114,10.48758,4,1.6460905
11,F-C1=C=C=C(-N(-C)-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C=C=3=2)=C=1,24,26,139,12.787489,4,1.6460905
12,F-C1=C=C=C(-N(-C)-C)=C(-C2=C=C=N=C3=N=C(-C(-C-C-N-C)=C)=C=C=3=2)=C=1,25,27,114,10.48758,4,1.6460905
13,F-C1=C=C=C(-N(-C)-C)=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C=C=3=2)=C=1,23,25,148,13.615456,4,1.6460905
