SMILES,Prediction,Prediction_Probability,,,SMILES,Prediction,Prediction_Probability
Cc(ccc(NC(N(CC1)CCN1c1ncnc(-c(cc(cc2)F)c2OC)c1)=O)c1)c1Cl,1,0.932769323,,,CC(CC(C)(C)Nc1c2)c1cc(C)c2-c1ccnc(Nc(cc2)ccc2F)n1,1,0.943043027
COc(ccc(F)c1)c1-c1cc(N(CC2)CCN2C(Nc2cccc(SC)c2)=O)ncn1,1,0.931136232,,,CC1c2cc(-c3ccnc(Nc(cc4)cc(Cl)c4Cl)n3)c(C)cc2NC(C)(C)C1,1,0.936915842
COc(ccc(F)c1)c1-c1cc(N(CC2)CCN2C(Nc2cccc(Br)c2)=O)ncn1,1,0.924687927,,,COc(cc1OC)c(CN(CC2)Cc3c2nc(Nc(cc2)ccc2F)nc3)cc1OC,1,0.935722886
COc1cccc(Nc2nc(CCN(Cc(cc3)cc(F)c3Cl)C3)c3cn2)c1,1,0.920054343,,,Cn(cc-12)nc2NCCc2c1nc(Nc1cccc(F)c1)nc2,1,0.934470182
COc1cc(Nc2nc(CCN(C3)S(c(cc4)cc(Cl)c4F)(=O)=O)c3cn2)cc(OC)c1,1,0.915835476,,,COc1cc(Nc2nc(CCN(Cc3cccc(F)c3)C3)c3cn2)cc(OC)c1,1,0.932563525
CC(C)n1c(nccc2)c2c(C(CC2)=CCN2C(Nc(ccc(F)c2)c2F)=O)c1,1,0.915022576,,,COc(cccc1)c1Nc1nc(CCN(Cc2cccc(F)c2)C2)c2cn1,1,0.932538355
COc(ccc(F)c1)c1-c1ncnc(N(CC2)CCN2C(Nc(cc2)cc(OC)c2OC)=O)c1,1,0.914016656,,,COc1cccc(Nc2nc(CCN(Cc(cc3)cc(F)c3F)C3)c3cn2)c1,1,0.931763809
Cc1cc(NC(N(CC2)CCN2c2cc(-c(cc(cc3)F)c3OC)ncn2)=O)cc(C)c1,1,0.911414172,,,COc1cccc(Nc2nc(CCN(Cc3cc(F)cc(F)c3)C3)c3cn2)c1,1,0.931459494
CCn1c(nccc2)c2c(C(CC2)=CCN2C(Nc(cc2)cc(F)c2OC)=O)c1,1,0.909552906,,,CC1c2cc(-c3ccnc(Nc(cc4)ccc4Cl)n3)c(C)cc2NC(C)(C)C1,1,0.92849341
CC(C)n1c(nccc2)c2c(C(CC2)=CCN2C(Nc(cc2)cc(F)c2OC)=O)c1,1,0.909422949,,,COc1cc(C(Cc2c3cnc(Nc(cc4)ccc4F)n2)CC3=O)cc(OC)c1OC,1,0.92565037
CCn1c(nccc2)c2c(C(CC2)=CCN2C(NCc2cccc(F)c2)=O)c1,1,0.908087104,,,COc(cccc1)c1-c1nn(ccnc2SCC(Nc3cc(F)ccc3)=O)c2c1,1,0.923592628
COc(cc1)ccc1NC(N(CC1)CCN1c1cc(-c(cc(cc2)F)c2OC)ncn1)=O,1,0.905862022,,,COc(ccc(C(Cc1c2cnc(Nc(cc3)ccc3F)n1)CC2=O)c1)c1OC,1,0.921077579
CC(C)n1c(nccc2)c2c(C(CC2)=CCN2C(Nc(cc2)ccc2F)=O)c1,1,0.905593769,,,COc1cccc(Nc2nc(CCN(Cc(ccc(F)c3)c3F)C3)c3cn2)c1,1,0.919502867
COc(ccc(F)c1)c1S(N(CC1)CCC1Oc(cc1)ncc1NC(C1CC1)=O)(=O)=O,1,0.904653635,,,CC(CC(C)(C)Nc1c2)c1cc(C)c2-c1ccnc(Nc2cc(Cl)cc(Cl)c2)n1,1,0.918488218
COc(ccc(F)c1)c1-c1ncnc(N(CC2)CCN2C(Nc(cccc2)c2OC)=O)c1,1,0.901443824,,,COc1cc(CN(CC2)Cc3c2nc(Nc(ccc(F)c2)c2F)nc3)cc(OC)c1OC,1,0.913849786
,,,,,COc(cccc1)c1-c1nc(NC#N)ncc1,1,0.913506686
,,,,,CCc(cc1)ccc1Nc1nc(-c2c(C)cc3NC(C)(C)CC(C)c3c2)ccn1,1,0.913427522
,,,,,COc(cccc1)c1-c1nc(NN)ncc1,1,0.909391879
,,,,,COc1cc(OC)c(C(Cc2c3cnc(Nc(cc4)ccc4F)n2)CC3=O)cc1,1,0.909230728
,,,,,COc1cc(CN(CC2)Cc3c2nc(Nc(cc2)ccc2F)nc3)cc(OC)c1OC,1,0.907691021
,,,,,COc1c(C(Cc2c3cnc(Nc(cc4)ccc4F)n2)CC3=O)cccc1,1,0.90694474
,,,,,CCOc(ccc(CN(CC1)Cc2c1nc(Nc(cc1)ccc1F)nc2)c1)c1OC,1,0.905807162
,,,,,Cc1ncc(CO)c(C2)c1Oc1c2c(SCC(Nc2cc(SC)ccc2)=O)nc(-c(cccc2)c2OC)n1,1,0.902167283
